Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
2019-02-21 23:45:36.175,0.129,0.305,0.934
2019-02-21 23:45:36.188,0.125,0.305,0.934
2019-02-21 23:45:36.200,0.129,0.305,0.930
2019-02-21 23:45:36.213,0.129,0.313,0.930
2019-02-21 23:45:36.225,0.129,0.309,0.930
2019-02-21 23:45:36.238,0.129,0.309,0.934
2019-02-21 23:45:36.250,0.129,0.313,0.938
2019-02-21 23:45:36.263,0.125,0.309,0.930
2019-02-21 23:45:36.275,0.129,0.309,0.930
2019-02-21 23:45:36.288,0.133,0.309,0.930
2019-02-21 23:45:36.300,0.125,0.309,0.934
2019-02-21 23:45:36.313,0.125,0.309,0.938
2019-02-21 23:45:36.325,0.125,0.309,0.938
2019-02-21 23:45:36.338,0.133,0.309,0.938
2019-02-21 23:45:36.350,0.133,0.305,0.930
2019-02-21 23:45:36.363,0.129,0.309,0.934
2019-02-21 23:45:36.375,0.125,0.305,0.941
